Ages.Text,Ages,Survival,Year
<6,0,100,0
11-Jun,6,100,0
17-Nov,11,100,0
18-34,18,100,0
35-49,35,100,0
50-64,50,100,0
>=65,65,100,0
<6,0,98.5348,1
11-Jun,6,99.7084,1
17-Nov,11,99.8756,1
18-34,18,98.8973,1
35-49,35,97.8079,1
50-64,50,95.9649,1
>=65,65,93.2493,1
<6,0,96.7032,2
10-Jun,5,98.8338,2
17-Nov,11,99.5025,2
18-34,18,98.3582,2
35-49,35,96.666,2
50-64,50,93.6213,2
>=65,65,89.2577,2
<6,0,96.337,3
11-Jun,6,98.2507,3
17-Nov,11,99.3781,3
18-34,18,97.5006,3
35-49,35,95.3915,3
50-64,50,91.2913,3
>=65,65,84.9449,3
<6,0,95.6044,4
11-Jun,6,97.6676,4
17-Nov,11,98.0099,4
18-34,18,96.8145,4
35-49,35,94.168,4
50-64,50,88.5538,4
>=65,65,79.888,4
<5,0,94.8718,5
11-Jun,6,97.6676,5
17-Nov,11,97.3881,5
18-34,18,95.8099,5
35-49,35,92.5979,5
50-64,50,85.2523,5
>=65,65,74.3137,5
