Ages.Text,Ages,Survival,Year
<1,0,100,0
5-Jan,1,100,0
10-Jun,6,100,0
17-Nov,11,100,0
18-34,18,100,0
35-49,35,100,0
50-64,50,100,0
>=65,65,100,0
<1,0,92.6471,1
5-Jan,1,92.4623,1
10-Jun,6,96.4143,1
17-Nov,11,94.0141,1
18-34,18,93.899,1
35-49,35,92.6512,1
50-64,50,90.9091,1
>=65,65,88.2221,1
<1,0,92.0588,2
5-Jan,1,90.6198,2
10-Jun,6,94.8207,2
17-Nov,11,93.3099,2
18-34,18,90.0858,2
35-49,35,89.9086,2
50-64,50,87.5675,2
>=65,65,83.6898,2
<1,0,91.4706,3
5-Jan,1,89.6147,3
10-Jun,6,93.6255,3
17-Nov,11,92.2535,3
18-34,18,85.6053,3
35-49,35,88.2208,3
50-64,50,84.7844,3
>=65,65,80.4979,3
<1,0,91.4706,4
5-Jan,1,89.1122,4
10-Jun,6,92.8287,4
17-Nov,11,91.5493,4
18-34,18,83.6034,4
35-49,35,86.3221,4
50-64,50,82.4407,4
>=65,65,78.0721,4
<1,0,91.4706,5
5-Jan,1,88.4422,5
10-Jun,6,92.0319,5
17-Nov,11,89.4366,5
18-34,18,81.0295,5
35-49,35,84.0014,5
50-64,50,80.1245,5
>=65,65,75.3272,5
