Ages.Text,Ages,Survival,Year
<1,0,100,0
5-Jan,1,100,0
10-Jun,6,100,0
17-Nov,11,100,0
18-34,18,100,0
35-49,35,100,0
50-64,50,100,0
>=65,65,100,0
<1,0,87.3626,1
5-Jan,1,92.8813,1
10-Jun,6,92.9824,1
17-Nov,11,95.6853,1
18-34,18,91.5416,1
35-49,35,90.9562,1
50-64,50,90.7235,1
>=65,65,88.4389,1
<1,0,85.4396,2
5-Jan,1,89.4915,2
10-Jun,6,90.3509,2
17-Nov,11,92.3858,2
18-34,18,87.3124,2
35-49,35,87.3981,2
50-64,50,88.2017,2
>=65,65,85.4197,2
<1,0,83.7912,3
5-Jan,1,87.7966,3
10-Jun,6,89.9123,3
17-Nov,11,90.3553,3
18-34,18,83.4925,3
35-49,35,84.8777,3
50-64,50,85.9802,3
>=65,65,83.6524,3
<1,0,82.967,4
5-Jan,1,85.0847,4
10-Jun,6,88.1579,4
17-Nov,11,88.5787,4
18-34,18,80.2183,4
35-49,35,83.0245,4
50-64,50,83.8187,4
>=65,65,81.0015,4
<1,0,81.5934,5
5-Jan,1,84.0678,5
10-Jun,6,85.0877,5
17-Nov,11,84.5178,5
18-34,18,77.3533,5
35-49,35,81.3936,5
50-64,50,80.9667,5
>=65,65,78.056,5
