Ages.Text,Ages,Survival,Year
<18,0,100,0
18-34,18,100,0
35-49,35,100,0
50-64,50,100,0
>=65,65,100,0
<18,0,87.01299,1
18-34,18,88.8704,1
35-49,35,89.0756,1
50-64,50,88.1404,1
>=65,65,84.6788,1
<18,0,73.37662,2
18-34,18,80.5648,2
35-49,35,82.9131,2
50-64,50,80.6162,2
>=65,65,75.7219,2
<18,0,62.98701,3
18-34,18,70.4319,3
35-49,35,77.7311,3
50-64,50,73.307,3
>=65,65,68.2381,3
<18,0,59.74026,4
18-34,18,63.4551,4
35-49,35,72.6891,4
50-64,50,67.4668,4
>=65,65,59.5757,4
<18,0,55.19481,5
18-34,18,59.4551,5
35-49,35,68.6274,5
50-64,50,62.0566,5
>=65,65,53.1562,5
