Ages.Text,Ages,Rate,Year
<1,0,68.19322535,2006
5-Jan,1,17.02712152,2006
10-Jun,6,12.4616172,2006
17-Nov,11,13.06607939,2006
18-34,18,17.48367448,2006
35-49,35,14.39435948,2006
50-64,50,16.67898659,2006
>=65,65,17.59303069,2006
<1,0,68.19322535,2007
5-Jan,1,17.02712152,2007
10-Jun,6,12.4616172,2007
17-Nov,11,13.06607939,2007
18-34,18,17.48367448,2007
35-49,35,14.39435948,2007
50-64,50,16.67898659,2007
>=65,65,17.59303069,2007
<1,0,52.71929337,2008
5-Jan,1,38.12459989,2008
10-Jun,6,18.00627224,2008
17-Nov,11,14.98084641,2008
18-34,18,15.47015397,2008
35-49,35,14.14542376,2008
50-64,50,18.43504465,2008
>=65,65,26.32564462,2008
<1,0,46.41516289,2009
5-Jan,1,23.9468232,2009
10-Jun,6,19.33082027,2009
17-Nov,11,15.10448996,2009
18-34,18,13.29591495,2009
35-49,35,15.11944303,2009
50-64,50,17.97262253,2009
>=65,65,22.28919816,2009
<1,0,33.29380644,2010
5-Jan,1,21.00235917,2010
10-Jun,6,18.25322116,2010
17-Nov,11,9.802868346,2010
18-34,18,13.62732357,2010
35-49,35,13.08717401,2010
50-64,50,13.98549085,2010
>=65,65,18.8373549,2010
<1,0,40.6316593,2011
5-Jan,1,16.5307971,2011
10-Jun,6,9.085628941,2011
17-Nov,11,18.4669871,2011
18-34,18,15.01311964,2011
35-49,35,11.74831017,2011
50-64,50,15.28246187,2011
>=65,65,21.03200045,2011
<1,0,43.22987425,2012
5-Jan,1,24.60674157,2012
10-Jun,6,15.98726859,2012
17-Nov,11,16.34133238,2012
18-34,18,15.55496774,2012
35-49,35,13.24891105,2012
50-64,50,14.28233547,2012
>=65,65,20.42418261,2012
<1,0,32.72717084,2013
5-Jan,1,23.28920083,2013
10-Jun,6,5.651904614,2013
17-Nov,11,11.64911321,2013
18-34,18,8.939630379,2013
35-49,35,14.06797477,2013
50-64,50,15.83005288,2013
>=65,65,18.73038638,2013
<1,0,41.28363094,2014
5-Jan,1,21.19516444,2014
10-Jun,6,11.9675401,2014
17-Nov,11,14.15277239,2014
18-34,18,9.59665372,2014
35-49,35,12.08359656,2014
50-64,50,16.42985146,2014
>=65,65,17.51364838,2014
<1,0,41.23739072,2015
5-Jan,1,19.85098167,2015
10-Jun,6,9.983361065,2015
17-Nov,11,24.91278629,2015
18-34,18,11.7929427,2015
35-49,35,10.7244295,2015
50-64,50,14.20473101,2015
>=65,65,21.71125446,2015
<1,0,34.67413315,2016
5-Jan,1,14.9312439,2016
10-Jun,6,9.727712877,2016
17-Nov,11,15.53136414,2016
18-34,18,9.154503372,2016
35-49,35,10.9759994,2016
50-64,50,12.67338229,2016
>=65,65,15.78984869,2016
<1,0,38.21089272,2017
5-Jan,1,17.54311563,2017
10-Jun,6,6.661039761,2017
17-Nov,11,9.090262212,2017
18-34,18,6.891955683,2017
35-49,35,9.436401241,2017
50-64,50,10.76605872,2017
>=65,65,16.5651899,2017
<1,0,37.4958192,2018
5-Jan,1,15.46571621,2018
10-Jun,6,10.88461457,2018
17-Nov,11,9.316274766,2018
18-34,18,7.390553732,2018
35-49,35,7.351069513,2018
50-64,50,9.825076076,2018
>=65,65,13.70460663,2018
<1,0,20.98959896,2019
5-Jan,1,18.88721879,2019
10-Jun,6,5.910548305,2019
17-Nov,11,8.42100406053894,2019
18-34,18,6.656711995,2019
35-49,35,6.7812158,2019
50-64,50,8.494539118,2019
>=65,65,12.49039431,2019
<1,0,21.3105501819668,2020
5-Jan,1,10.211767744157,2020
10-Jun,6,9.18734268248831,2020
17-Nov,11,7.32588479293504,2020
18-34,18,6.39389389389389,2020
35-49,35,6.50247691081558,2020
50-64,50,9.11786935857855,2020
>=65,65,15.2354570637119,2020
