Ages.Text,Ages,Rate,Year
<6,0,28.75337382,2006
11-Jun,6,6.765720067,2006
17-Dec,12,20.98586578,2006
18-34,18,12.90045684,2006
35-49,35,8.957434519,2006
50-64,50,14.2117885,2006
>=65,65,20.94060736,2006
<6,0,28.75337382,2007
11-Jun,6,6.765720067,2007
17-Dec,12,20.98586578,2007
18-34,18,12.90045684,2007
35-49,35,8.957434519,2007
50-64,50,14.2117885,2007
>=65,65,20.94060736,2007
<6,0,17.02896439,2008
11-Jun,6,8.401702193,2008
17-Dec,12,17.57200026,2008
18-34,18,15.37107921,2008
35-49,35,13.41759982,2008
50-64,50,14.77988101,2008
>=65,65,28.47177338,2008
<6,0,17.02896439,2009
11-Jun,6,8.401702193,2009
17-Dec,12,17.57200026,2009
18-34,18,19.10349485,2009
35-49,35,13.99127802,2009
50-64,50,18.02544572,2009
>=65,65,23.37361663,2009
<6,0,26.75684161,2010
11-Jun,6,11.89397567,2010
17-Dec,12,19.05226161,2010
18-34,18,20.40025886,2010
35-49,35,17.04351143,2010
50-64,50,16.38148059,2010
>=65,65,28.41123314,2010
<6,0,26.75684161,2011
11-Jun,6,11.89397567,2011
17-Dec,12,19.05226161,2011
18-34,18,20.70874987,2011
35-49,35,21.46909271,2011
50-64,50,19.15931925,2011
>=65,65,23.74969149,2011
<6,0,19.79495981,2012
11-Jun,6,13.58343212,2012
17-Dec,12,30.76786004,2012
18-34,18,27.04307841,2012
35-49,35,21.38988187,2012
50-64,50,17.67938447,2012
>=65,65,28.97258619,2012
<6,0,19.79495981,2013
11-Jun,6,13.58343212,2013
17-Dec,12,30.76786004,2013
18-34,18,26.44756421,2013
35-49,35,14.35693092,2013
50-64,50,15.86998767,2013
>=65,65,24.46870247,2013
<6,0,31.4684185,2014
11-Jun,6,13.41647076,2014
17-Dec,12,38.90204936,2014
18-34,18,20.62324199,2014
35-49,35,23.35195256,2014
50-64,50,19.7917322,2014
>=65,65,29.01569788,2014
<6,0,31.4684185,2015
11-Jun,6,13.41647076,2015
17-Dec,12,38.90204936,2015
18-34,18,24.51961429,2015
35-49,35,16.96430167,2015
50-64,50,16.88955727,2015
>=65,65,29.07485173,2015
<6,0,24.24583272,2016
11-Jun,6,6.278084715,2016
17-Dec,12,19.43773539,2016
18-34,18,15.95448037,2016
35-49,35,16.64813706,2016
50-64,50,16.4612891,2016
>=65,65,30.62080537,2016
<6,0,24.24583272,2017
11-Jun,6,28.15633839,2017
17-Dec,12,6.278084715,2017
18-34,18,17.68263143,2017
35-49,35,16.09589384,2017
50-64,50,17.84488182,2017
>=65,65,25.22107514,2017
<1,0,21.18398143,2018
5-Jan,1,9.891598916,2018
11-Jun,6,40.57358826,2018
17-Dec,12,35.39271367,2018
18-34,18,13.80359812,2018
35-49,35,17.20403149,2018
50-64,50,16.44252394,2018
>=65,65,24.739696,2018
<1,0,34.33678269,2019
5-Jan,1,17.83097215,2019
11-Jun,6,24.31712192,2019
17-Dec,12,32.77952402,2019
18-34,18,7.71140337,2019
35-49,35,12.02939787,2019
50-64,50,12.7609498,2019
>=65,65,21.89233768,2019
<18,0,27.12410206,2020
18-34,18,9.185541066,2020
35-49,35,10.12861959,2020
50-64,50,15.38273509,2020
>=65,65,23.20056571,2020
