Year	Age	Kidney.waitlist	Heart.waitlist	Lung.waitlist	Liver.waitlist	Kidney.recipients	Heart.recipients	Lung.recipients	Liver.recipients
2019	0	0	326	11	360	0	133	4	121
2019	1	539	253	19	360	166	115	5	174
2019	6	534	180	17	190	441	80	6	81
2019	12	1503	327	67	294	156	181	37	96
2019	18	16144	953	408	1682	2948	377	230	513
2019	35	40071	1822	646	4918	6080	654	337	1504
2019	50	61981	3667	2147	13890	9349	1461	1177	4065
2019	65	25801	1119	1494	5384	5133	596	963	1817
2020	0	29	353	88	312	0	124	36	139
2020	1	527	255	88	311	186	100	36	166
2020	6	512	173	88	160	156	85	36	77
2020	12	1569	306	88	295	373	156	36	120
2020	18	15356	865	314	1682	2837	333	142	606
2020	35	38265	1761	496	4939	5952	699	262	1751
2020	50	59897	3588	1951	12919	9085	1558	1175	4054
2020	65	25339	1172	1359	5413	5053	660	982	1993
